zeta,speed_g0.2,comp_g0.2,speed_g0.4,comp_g0.4,speed_g0.6,comp_g0.6,speed_g0.8,comp_g0.8,speed_g1.0,comp_g1.0
2.575075582173e+00,5.469669357183e-02,1.701802082626e-01,8.841160149883e-02,3.323649592768e-01,1.115690366884e-01,5.067662135565e-01,1.328831560131e-01,7.292759631473e-01,1.618875361351e-01,1.073478559642e+00
2.618856810074e+00,5.374980061767e-02,1.706518346395e-01,8.652426277666e-02,3.330384390370e-01,1.086545864212e-01,5.070220751878e-01,1.288723968719e-01,7.290562913250e-01,1.569526032442e-01,1.076445459261e+00
2.663382402890e+00,5.281493722005e-02,1.711106334708e-01,8.466359669885e-02,3.336596199211e-01,1.057829438649e-01,5.071183089766e-01,1.249182592981e-01,7.284609412426e-01,1.520880335113e-01,1.078852560280e+00
2.708665016253e+00,5.189208336497e-02,1.715566137949e-01,8.282969128031e-02,3.342284853197e-01,1.029545537801e-01,5.070537961497e-01,1.210217286098e-01,7.274830676176e-01,1.472953681550e-01,1.080686403654e+00
2.754717520965e+00,5.098121602272e-02,1.719897937772e-01,8.102262334889e-02,3.347450783676e-01,1.001698393189e-01,5.068276399472e-01,1.171837585654e-01,7.261162428803e-01,1.425760925058e-01,1.081934203987e+00
2.801553006658e+00,5.008230899213e-02,1.724102001687e-01,7.924245816153e-02,3.352095019107e-01,9.742920146822e-02,5.064391758454e-01,1.134052698052e-01,7.243544879090e-01,1.379316331118e-01,1.082583905234e+00
2.849184785512e+00,4.919533304784e-02,1.728178687390e-01,7.748924948473e-02,3.356219201905e-01,9.473301840101e-02,5.058879811678e-01,1.096871486631e-01,7.221923053510e-01,1.333633550846e-01,1.082624237791e+00
2.897626396037e+00,4.832025581164e-02,1.732128437534e-01,7.576303929167e-02,3.359825587912e-01,9.208164473806e-02,5.051738839545e-01,1.060302456659e-01,7.196247112815e-01,1.288725594672e-01,1.082044775163e+00
2.946891606928e+00,4.745704192497e-02,1.735951784661e-01,7.406385782131e-02,3.362917059463e-01,8.947541108257e-02,5.042969729790e-01,1.024353743606e-01,7.166472691323e-01,1.244604805549e-01,1.080835989217e+00
2.996994420972e+00,4.660565294688e-02,1.739649346319e-01,7.239172326768e-02,3.365497120500e-01,8.691462313924e-02,5.032576051450e-01,9.890330992841e-02,7.132561223019e-01,1.201282834677e-01,1.078989306092e+00
3.047949079029e+00,4.576604745653e-02,1.743221827187e-01,7.074664189255e-02,3.367569908516e-01,8.439956144005e-02,5.020564158296e-01,9.543478794073e-02,7.094480276546e-01,1.158770617255e-01,1.076497160467e+00
3.099770064084e+00,4.493818095361e-02,1.746670013457e-01,6.912860775034e-02,3.369140186887e-01,8.193048044746e-02,5.006943252509e-01,9.203050318131e-02,7.052203893521e-01,1.117078349532e-01,1.073353048818e+00
3.152472105358e+00,4.412200611168e-02,1.749994780363e-01,6.753760276458e-02,3.370213351234e-01,7.950760823353e-02,4.991725476075e-01,8.869110847867e-02,7.005712925324e-01,1.076215467075e-01,1.069551581268e+00
3.206070182499e+00,4.331747260445e-02,1.753197083266e-01,6.597359666124e-02,3.370795427175e-01,7.713114580722e-02,4.974925975845e-01,8.541721348175e-02,6.954995361138e-01,1.036190622943e-01,1.065088530315e+00
3.260579529835e+00,4.252452715356e-02,1.756277956623e-01,6.443654678468e-02,3.370893059472e-01,7.480126647318e-02,4.956562962650e-01,8.220938363333e-02,6.900046665687e-01,9.970116708127e-02,1.059960881060e+00
3.316015640710e+00,4.174311368656e-02,1.759238517418e-01,6.292639821926e-02,3.370513514003e-01,7.251811554875e-02,4.936657786054e-01,7.906813912327e-02,6.840870109073e-01,9.586856442881e-02,1.054166873778e+00
3.372394271882e+00,4.097317329321e-02,1.762079960264e-01,6.144308373735e-02,3.369664668713e-01,7.028180971505e-02,4.915234977662e-01,7.599395390225e-02,6.777477093381e-01,9.212187423127e-02,1.047706048390e+00
3.429731448007e+00,4.021464428137e-02,1.764803556208e-01,5.998652382796e-02,3.368355006106e-01,6.809243665527e-02,4.892322304172e-01,7.298725478201e-02,6.709887477156e-01,8.846163139379e-02,1.040579283649e+00
3.488043466187e+00,3.946746220572e-02,1.767410650128e-01,5.855662665260e-02,3.366593599003e-01,6.595005447809e-02,4.867950795816e-01,7.004842051608e-02,6.638129886898e-01,8.488828439627e-02,1.032788831874e+00
3.547346900610e+00,3.873155991201e-02,1.769902658502e-01,5.715328810919e-02,3.364390099279e-01,6.385469141089e-02,4.842154782825e-01,6.717778105752e-02,6.562242031730e-01,8.140219435748e-02,1.024338353778e+00
3.607658607254e+00,3.800686766840e-02,1.772281070971e-01,5.577639196021e-02,3.361754727786e-01,6.180634541207e-02,4.814971915168e-01,6.437561685891e-02,6.482271008481e-01,7.800363385646e-02,1.015232944237e+00
3.668995728683e+00,3.729331310379e-02,1.774547442920e-01,5.442580980812e-02,3.358698252497e-01,5.980498371292e-02,4.786443164030e-01,6.164215816166e-02,6.398273589804e-01,7.469278633462e-02,1.005479158414e+00
3.731375698916e+00,3.659082132093e-02,1.776703395665e-01,5.310140123184e-02,3.355231972971e-01,5.785054257768e-02,4.756612826354e-01,5.897758455330e-02,6.310316521877e-01,7.146974541255e-02,9.950850297607e-01
3.794816248385e+00,3.589931496491e-02,1.778750614519e-01,5.180301389235e-02,3.351367700163e-01,5.594292694534e-02,4.725528505952e-01,5.638202443147e-02,6.218476794771e-01,6.833451454233e-02,9.840600846863e-01
3.859335408973e+00,3.521871421244e-02,1.780690842684e-01,5.053048364671e-02,3.347117733645e-01,5.408201015927e-02,4.693241085825e-01,5.385555461020e-02,6.122841907032e-01,6.528700685951e-02,9.724153519330e-01
3.924951519139e+00,3.454893700146e-02,1.782525886900e-01,4.928363480162e-02,3.342494845060e-01,5.226763384669e-02,4.659804697087e-01,5.139820016030e-02,6.023510135282e-01,6.232704519895e-02,9.601633657393e-01
3.991683229132e+00,3.388989882648e-02,1.784257601036e-01,4.806228001999e-02,3.337512235353e-01,5.049960743245e-02,4.625276638278e-01,4.900993412838e-02,5.920590768381e-01,5.945436237323e-02,9.473181638795e-01
4.059549506290e+00,3.324151307150e-02,1.785887896668e-01,4.686622084312e-02,3.332183530143e-01,4.877770828253e-02,4.589717330847e-01,4.669067757395e-02,5.814204354563e-01,5.666860164527e-02,9.338952793298e-01
4.128569640432e+00,3.260369093378e-02,1.787418732726e-01,4.569524761308e-02,3.326522731627e-01,4.710168136208e-02,4.553190212253e-01,4.444029961766e-02,5.704482926956e-01,5.396931743292e-02,9.199117258649e-01
4.198763249344e+00,3.197634152281e-02,1.788852113806e-01,4.454913984868e-02,3.320544198381e-01,4.547123921897e-02,4.515761636980e-01,4.225861760277e-02,5.591570218114e-01,5.135597627625e-02,9.053859779507e-01
4.270150284347e+00,3.135937194096e-02,1.790190087454e-01,4.342766649520e-02,3.314262614038e-01,4.388606193144e-02,4.477500752626e-01,4.014539747000e-02,5.475621876999e-01,4.882795787210e-02,8.903379413731e-01
4.342751035977e+00,3.075268733475e-02,1.791434739615e-01,4.233058605994e-02,3.307692944148e-01,4.234579705765e-02,4.438479352648e-01,3.810035419937e-02,5.356805670686e-01,4.638455661153e-02,8.747889220288e-01
4.416586139746e+00,3.015619102663e-02,1.792588194548e-01,4.125764701756e-02,3.300850410344e-01,4.085005969263e-02,4.398771715218e-01,3.612315243791e-02,5.235301687003e-01,4.402498307563e-02,8.587615834085e-01
4.491676582009e+00,2.956978454770e-02,1.793652609000e-01,4.020858812196e-02,3.293750455387e-01,3.939843256696e-02,4.358454421162e-01,3.421340722585e-02,5.111302527715e-01,4.174836583209e-02,8.422798985035e-01
4.568043705932e+00,2.899336771825e-02,1.794630168876e-01,3.918313857295e-02,3.286408693506e-01,3.799046614339e-02,4.317606144918e-01,3.237068498529e-02,4.985013517886e-01,3.955375360596e-02,8.253690980705e-01
4.645709217552e+00,2.842683872741e-02,1.795523085756e-01,3.818101857380e-02,3.278840889931e-01,3.662567886350e-02,4.276307434252e-01,3.059450453219e-02,4.856652899469e-01,3.744011740808e-02,8.080556071521e-01
4.724695191953e+00,2.787009425259e-02,1.796333595872e-01,3.720193947017e-02,3.271062903852e-01,3.530355730188e-02,4.234640450867e-01,2.888433836943e-02,4.726452050018e-01,3.540635306776e-02,7.903669787623e-01
4.805024079537e+00,2.732302947696e-02,1.797063952580e-01,3.624560427667e-02,3.263090661362e-01,3.402355655704e-02,4.192688708414e-01,2.723961414858e-02,4.594655715381e-01,3.345128390073e-02,7.723318197742e-01
4.886718712406e+00,2.678553824221e-02,1.797716427345e-01,3.531170802719e-02,3.254940112033e-01,3.278510063217e-02,4.150536779977e-01,2.565971616993e-02,4.461522238501e-01,3.157366351618e-02,7.539797091095e-01
4.969802310851e+00,2.625751309394e-02,1.798293303874e-01,3.439993813419e-02,3.246627183995e-01,3.158758284122e-02,4.108269977499e-01,2.414398723946e-02,4.327323842063e-01,2.977217888929e-02,7.353411114609e-01
5.054298489953e+00,2.573884538344e-02,1.798796875841e-01,3.350997488300e-02,3.238167749830e-01,3.043036638841e-02,4.065974021561e-01,2.269173066523e-02,4.192346937945e-01,2.804545375573e-02,7.164472889239e-01
5.140231266295e+00,2.522942530031e-02,1.799229439819e-01,3.264149181655e-02,3.229577581251e-01,2.931278494900e-02,4.023734680209e-01,2.130221219586e-02,4.056892432043e-01,2.639205172813e-02,6.973301961739e-01
5.227625064788e+00,2.472914205532e-02,1.799593298682e-01,3.179415620286e-02,3.220872310369e-01,2.823414344391e-02,3.981637402243e-01,1.997466234108e-02,3.921276109730e-01,2.481048003568e-02,6.780223817702e-01
5.316504725612e+00,2.423788388251e-02,1.799890752466e-01,3.096762950441e-02,3.212067390599e-01,2.719371882348e-02,3.939766921520e-01,1.870827871931e-02,3.785829047481e-01,2.329919322981e-02,6.585568806518e-01
5.406895511281e+00,2.375553818410e-02,1.800124099349e-01,3.016156782104e-02,3.203178054373e-01,2.619076095946e-02,3.898206845723e-01,1.750222838653e-02,3.650898045190e-01,2.185659698673e-02,6.389671014118e-01
5.498823113815e+00,2.328199156545e-02,1.800295628734e-01,2.937562243603e-02,3.194219281440e-01,2.522449378367e-02,3.857039252271e-01,1.635565015354e-02,3.516846083163e-01,2.048105202035e-02,6.192867094442e-01
5.592313662053e+00,2.281712994525e-02,1.800407619872e-01,2.860944022395e-02,3.185205752894e-01,2.429411633512e-02,3.816344244065e-01,1.526765676558e-02,3.384052778911e-01,1.917087815970e-02,5.995495085990e-01
5.687393729072e+00,2.236083865784e-02,1.800462340186e-01,2.786266421829e-02,3.176151822621e-01,2.339880416195e-02,3.776199533503e-01,1.423733689601e-02,3.252914830005e-01,1.792435864064e-02,5.797893244767e-01
5.784090339741e+00,2.191300252536e-02,1.800462041412e-01,2.713493409760e-02,3.167071481186e-01,2.253771069343e-02,3.736680000892e-01,1.326375640141e-02,3.123846307399e-01,1.673974407208e-02,5.600398734679e-01
5.882430978407e+00,2.147350590227e-02,1.800408953439e-01,2.642588665477e-02,3.157978318660e-01,2.170996879165e-02,3.697857261814e-01,1.234595907680e-02,2.997278822865e-01,1.561525692278e-02,5.403346449759e-01
5.982443596700e+00,2.104223283740e-02,1.800305287973e-01,2.573515639219e-02,3.148885503790e-01,2.091469256197e-02,3.659799262971e-01,1.148296606282e-02,2.873661332248e-01,1.454909574286e-02,5.207067736612e-01
6.084156621484e+00,2.061906709320e-02,1.800153230716e-01,2.506237593290e-02,3.139805743556e-01,2.015097908896e-02,3.622569855592e-01,1.067377387096e-02,2.753459490756e-01,1.353943954281e-02,5.011889162786e-01
6.187598962934e+00,2.020389226596e-02,1.799954942101e-01,2.440717658927e-02,3.130751263576e-01,1.941791055808e-02,3.586228430004e-01,9.917350165337e-03,2.637154245337e-01,1.258445211291e-02,4.818131273412e-01
6.292800022751e+00,1.979659182207e-02,1.799712551018e-01,2.376918888283e-02,3.121733785853e-01,1.871455631378e-02,3.550829540838e-01,9.212626878374e-03,2.525239402760e-01,1.168228637879e-02,4.626107383089e-01
6.399789702525e+00,1.939704921923e-02,1.799428156195e-01,2.314804300684e-02,3.112764502219e-01,1.803997520911e-02,3.516422592187e-01,8.558489933901e-03,2.418217780548e-01,1.083108870056e-02,4.436122384464e-01
6.508598412228e+00,1.900514798669e-02,1.799103824426e-01,2.254336933742e-02,3.103854057218e-01,1.739321795840e-02,3.483051538225e-01,7.953764891426e-03,2.316595487255e-01,1.002900309905e-02,4.248471579434e-01
6.619257078860e+00,1.862077175460e-02,1.798741584199e-01,2.195479892833e-02,3.095012532834e-01,1.677332973712e-02,3.450754653257e-01,7.397198104123e-03,2.220873883823e-01,9.274175527147e-03,4.063439597414e-01
