s,kernel_g0.2,kernel_g0.4,kernel_g0.6,kernel_g0.8,kernel_g0.95
8.772454090150e-02,1.397452644747e+00,1.777463909294e+00,1.941487315551e+00,1.526197045926e+00,5.184025112685e-01
8.939232053422e-02,1.392198875046e+00,1.764124162749e+00,1.919672277430e+00,1.503374996040e+00,5.092100246051e-01
9.106010016694e-02,1.387061431702e+00,1.751128367457e+00,1.898498881875e+00,1.481306719512e+00,5.003459952178e-01
9.272787979967e-02,1.382035678155e+00,1.738461595100e+00,1.877937014271e+00,1.459954187058e+00,4.917929879064e-01
9.439565943239e-02,1.377117241874e+00,1.726109818967e+00,1.857958482326e+00,1.439281927204e+00,4.835347847925e-01
9.606343906511e-02,1.372301994969e+00,1.714059844707e+00,1.838536861999e+00,1.419256812749e+00,4.755562806593e-01
9.773121869783e-02,1.367586036532e+00,1.702299247510e+00,1.819647358219e+00,1.399847868414e+00,4.678433889221e-01
9.939899833055e-02,1.362965676537e+00,1.690816314999e+00,1.801266678722e+00,1.381026097231e+00,4.603829569907e-01
1.010667779633e-01,1.358437421118e+00,1.679599995243e+00,1.783372919593e+00,1.362764323583e+00,4.531626899453e-01
1.027345575960e-01,1.353997959114e+00,1.668639849347e+00,1.765945461250e+00,1.345037051044e+00,4.461710815873e-01
1.044023372287e-01,1.349644149725e+00,1.657926008149e+00,1.748964873757e+00,1.327820333414e+00,4.393973520470e-01
1.060701168614e-01,1.345373011192e+00,1.647449132620e+00,1.732412830506e+00,1.311091657533e+00,4.328313912301e-01
1.077378964942e-01,1.341181710389e+00,1.637200377581e+00,1.716272029403e+00,1.294829836630e+00,4.264637074756e-01
1.094056761269e-01,1.337067553253e+00,1.627171358427e+00,1.700526120803e+00,1.279014913122e+00,4.202853808721e-01
1.110734557596e-01,1.333027975953e+00,1.617354120555e+00,1.685159641525e+00,1.263628069890e+00,4.142880207462e-01
1.127412353923e-01,1.329060536756e+00,1.607741111254e+00,1.670157954349e+00,1.248651549171e+00,4.084637268946e-01
1.144090150250e-01,1.325162908504e+00,1.598325153809e+00,1.655507192464e+00,1.234068578328e+00,4.028050541796e-01
1.160767946578e-01,1.321332871661e+00,1.589099423627e+00,1.641194208404e+00,1.219863301813e+00,3.973049801526e-01
1.177445742905e-01,1.317568307873e+00,1.580057426200e+00,1.627206527041e+00,1.206020718718e+00,3.919568754071e-01
1.194123539232e-01,1.313867193997e+00,1.571192976729e+00,1.613532302267e+00,1.192526625405e+00,3.867544763963e-01
1.210801335559e-01,1.310227596565e+00,1.562500181279e+00,1.600160277030e+00,1.179367562721e+00,3.816918604794e-01
1.227479131886e-01,1.306647666638e+00,1.553973419315e+00,1.587079746413e+00,1.166530767370e+00,3.767634229857e-01
1.244156928214e-01,1.303125635020e+00,1.545607327514e+00,1.574280523496e+00,1.154004127086e+00,3.719638561085e-01
1.260834724541e-01,1.299659807803e+00,1.537396784730e+00,1.561752907753e+00,1.141776139238e+00,3.672881294617e-01
1.277512520868e-01,1.296248562218e+00,1.529336898033e+00,1.549487655768e+00,1.129835872579e+00,3.627314721455e-01
1.294190317195e-01,1.292890342766e+00,1.521422989712e+00,1.537475954062e+00,1.118172931855e+00,3.582893561895e-01
1.310868113523e-01,1.289583657603e+00,1.513650585186e+00,1.525709393869e+00,1.106777425032e+00,3.539574812479e-01
1.327545909850e-01,1.286327075165e+00,1.506015401730e+00,1.514179947690e+00,1.095639932911e+00,3.497317604408e-01
1.344223706177e-01,1.283119221008e+00,1.498513337960e+00,1.502879947477e+00,1.084751480934e+00,3.456083072391e-01
1.360901502504e-01,1.279958774860e+00,1.491140464022e+00,1.491802064316e+00,1.074103512994e+00,3.415834233080e-01
1.377579298831e-01,1.276844467845e+00,1.483893012419e+00,1.480939289501e+00,1.063687867093e+00,3.376535872248e-01
1.394257095159e-01,1.273775079894e+00,1.476767369436e+00,1.470284916866e+00,1.053496752682e+00,3.338154440010e-01
