g0.25_x,g0.25_y,g0.5_x,g0.5_y,g0.75_x,g0.75_y,g1.0_x,g1.0_y,zeta
8.761557342502e-01,-3.477022955711e-01,8.520012192635e-01,-5.080892099773e-01,7.793586785279e-01,-6.248443475497e-01,7.067076220678e-01,-7.073062551427e-01,5.987175773085e-04
8.760555090006e-01,-3.477559688066e-01,8.519664757993e-01,-5.081092130976e-01,7.793496065210e-01,-6.248493097363e-01,7.067056722589e-01,-7.073072290131e-01,6.016420841124e-04
8.759551368243e-01,-3.478097243618e-01,8.519316449880e-01,-5.081292662382e-01,7.793405011688e-01,-6.248542901051e-01,7.067037129253e-01,-7.073082076356e-01,6.045808760155e-04
8.758546174702e-01,-3.478635623801e-01,8.518967266039e-01,-5.081493695262e-01,7.793313623481e-01,-6.248592887227e-01,7.067017440204e-01,-7.073091910336e-01,6.075340227951e-04
8.757539506866e-01,-3.479174830046e-01,8.518617204208e-01,-5.081695230895e-01,7.793221899355e-01,-6.248643056559e-01,7.066997654974e-01,-7.073101792303e-01,6.105015945695e-04
8.756531362215e-01,-3.479714863790e-01,8.518266262117e-01,-5.081897270559e-01,7.793129838072e-01,-6.248693409718e-01,7.066977773095e-01,-7.073111722490e-01,6.134836617990e-04
8.755521738221e-01,-3.480255726472e-01,8.517914437492e-01,-5.082099815538e-01,7.793037438386e-01,-6.248743947378e-01,7.066957794092e-01,-7.073121701133e-01,6.164802952886e-04
8.754510632354e-01,-3.480797419534e-01,8.517561728051e-01,-5.082302867117e-01,7.792944699051e-01,-6.248794670215e-01,7.066937717493e-01,-7.073131728469e-01,6.194915661888e-04
8.753498042076e-01,-3.481339944419e-01,8.517208131507e-01,-5.082506426586e-01,7.792851618812e-01,-6.248845578907e-01,7.066917542821e-01,-7.073141804734e-01,6.225175459978e-04
8.752483964845e-01,-3.481883302575e-01,8.516853645567e-01,-5.082710495238e-01,7.792758196413e-01,-6.248896674135e-01,7.066897269595e-01,-7.073151930167e-01,6.255583065630e-04
8.751468398112e-01,-3.482427495452e-01,8.516498267930e-01,-5.082915074370e-01,7.792664430590e-01,-6.248947956583e-01,7.066876897335e-01,-7.073162105008e-01,6.286139200827e-04
8.750451339325e-01,-3.482972524502e-01,8.516141996290e-01,-5.083120165281e-01,7.792570320078e-01,-6.248999426937e-01,7.066856425557e-01,-7.073172329497e-01,6.316844591080e-04
8.749432785926e-01,-3.483518391181e-01,8.515784828335e-01,-5.083325769274e-01,7.792475863603e-01,-6.249051085884e-01,7.066835853775e-01,-7.073182603876e-01,6.347699965442e-04
8.748412735350e-01,-3.484065096946e-01,8.515426761747e-01,-5.083531887656e-01,7.792381059890e-01,-6.249102934117e-01,7.066815181500e-01,-7.073192928390e-01,6.378706056530e-04
